"","life_satisfaction","household_size","house_owned","live_with_partner","no_child","house"
"599",9,2,0,0,1,0
"600",7,2,0,0,0,0
"601",10,2,1,0,1,1
"602",10,2,1,0,1,1
"603",8,2,0,0,1,0
"604",8,5,1,0,0,1
"605",6,1,1,0,1,1
"606",10,5,1,0,0,1
"607",7,1,0,0,1,0
"608",8,2,0,0,1,0
"609",8,1,1,0,1,1
"610",10,2,1,0,1,0
"611",8,2,1,1,1,1
"612",10,3,1,0,0,1
"613",7,2,0,1,1,0
"614",9,5,1,0,0,1
"615",5,1,0,0,1,0
"616",9,1,1,0,1,0
"617",10,2,1,0,1,1
"618",10,4,1,0,1,1
"619",7,5,1,0,0,1
"620",9,4,0,0,1,1
"621",8,2,0,0,1,0
"622",8,3,1,0,0,1
"623",10,1,0,0,1,0
"624",7,1,1,0,1,1
"625",8,1,1,0,1,1
"626",8,2,0,0,1,0
"627",3,3,0,0,1,0
"628",9,4,1,0,0,1
"629",9,2,1,0,1,1
"630",8,1,1,0,1,0
"631",9,1,1,0,1,1
"632",10,1,0,0,1,0
"633",10,3,1,0,1,1
"634",8,4,1,0,1,1
"635",5,3,1,0,1,1
"636",10,3,1,0,0,1
"637",10,2,0,1,1,0
"638",8,2,1,0,1,0
"639",8,2,1,0,1,1
"640",7,2,0,0,1,0
"641",9,3,1,0,1,1
"642",9,4,1,0,0,0
"643",9,2,1,0,1,1
"644",9,2,0,0,1,0
"645",4,1,1,0,1,1
"646",9,2,1,1,1,0
"647",8,4,1,0,1,1
"648",7,3,1,0,1,1
"649",8,4,1,0,1,1
"650",8,3,1,0,1,1
"651",3,1,1,0,1,1
"652",8,4,1,0,1,1
"653",7,1,0,0,1,0
"654",10,2,1,0,1,1
"655",9,3,1,0,0,1
"656",9,2,1,0,1,1
"657",8,3,1,0,1,1
"658",10,2,0,0,1,1
"659",10,4,0,0,0,1
"660",8,2,0,0,0,0
"661",8,1,0,0,1,0
"662",8,3,0,0,0,1
"663",7,4,0,0,0,0
"664",8,1,1,0,1,0
"665",7,1,1,0,1,0
"666",9,2,1,0,1,1
"667",9,1,1,0,1,1
"668",8,2,1,0,1,1
"669",6,5,1,0,1,1
"670",8,6,0,1,0,1
"671",9,2,0,0,1,0
"672",10,2,1,0,1,1
"673",7,2,0,0,1,0
"674",5,1,1,0,1,1
"675",8,1,1,0,1,0
"676",10,3,1,1,0,1
"677",8,2,1,0,0,1
"678",10,1,1,0,1,0
"679",9,4,1,0,0,1
"680",9,2,0,1,1,0
"681",10,2,1,0,1,1
"682",9,3,0,0,0,1
"683",10,5,1,0,0,0
"684",7,1,0,0,1,0
"685",10,2,1,0,1,1
"686",8,2,1,0,1,1
"687",8,4,0,0,0,1
"688",10,2,1,0,1,0
"689",7,1,1,0,1,1
"690",7,1,1,0,1,0
"691",8,1,1,0,1,1
"692",10,2,1,0,1,1
"693",8,2,1,0,1,1
"694",7,3,1,0,0,1
"695",10,1,1,0,1,1
"696",8,2,0,0,1,0
"697",7,2,1,1,1,1
"698",6,1,0,0,1,0
"699",7,1,1,0,1,1
"700",10,2,1,0,1,1
"701",9,4,1,0,1,1
"702",7,3,1,0,0,0
"703",8,3,0,0,1,1
"704",7,1,1,0,1,1
"705",7,4,1,1,0,1
"706",7,1,1,0,1,1
"707",8,2,0,1,1,0
"708",7,5,1,0,0,0
"709",8,1,0,0,1,0
"710",10,2,1,0,1,0
"711",10,2,1,0,1,1
"712",9,1,1,0,1,1
"713",8,3,1,0,1,1
"714",8,2,1,1,1,1
"715",8,4,1,0,1,1
"716",7,1,1,0,1,1
"717",7,6,1,0,1,1
"718",10,2,1,0,1,0
"719",7,1,0,0,1,0
"720",9,2,0,0,1,0
"721",3,1,0,0,1,0
"722",8,2,1,0,1,1
"723",10,2,0,0,1,0
"724",8,1,0,0,1,0
"725",7,1,0,0,1,0
"726",7,4,1,0,0,1
"727",9,2,1,1,1,0
"728",9,2,1,0,1,1
"729",8,3,1,0,1,1
"730",8,1,1,0,1,1
"731",8,2,1,0,1,1
"732",5,2,1,0,1,1
"733",9,3,1,0,1,1
"734",5,1,1,0,1,1
"735",8,4,0,0,0,0
"736",7,1,1,0,1,1
"737",8,4,1,0,1,1
"738",7,2,1,0,1,0
"739",9,1,1,0,1,0
"740",8,2,1,0,1,1
"741",10,3,1,0,1,1
"742",10,3,1,1,1,1
"743",10,2,1,0,1,1
"744",10,1,1,0,1,0
"745",10,2,1,0,1,1
"746",9,3,1,0,0,1
"747",7,2,1,0,1,1
"748",10,1,1,0,1,1
"749",8,2,1,0,1,0
"750",8,3,1,0,1,1
"751",9,4,1,0,1,1
"752",6,1,0,0,1,0
"753",8,3,1,0,1,0
"754",8,2,1,0,1,1
"755",8,2,1,0,1,1
"756",8,4,1,0,0,1
"757",10,1,1,0,1,1
"758",8,3,1,0,1,0
"759",5,1,0,0,1,0
"760",5,4,0,0,0,0
"761",8,3,0,0,1,0
"762",7,2,1,0,1,1
"763",4,3,1,1,0,1
"764",9,1,1,0,1,0
"765",9,4,1,0,0,1
"766",10,1,1,0,1,0
"767",10,5,0,0,0,1
"768",10,1,1,0,1,1
"769",8,2,0,0,1,0
"770",8,2,1,0,1,1
"771",9,2,1,0,1,1
"772",7,4,1,0,0,1
"773",8,4,1,0,1,1
"774",8,2,1,0,1,1
"775",8,3,1,0,1,0
"776",5,1,0,0,1,0
"777",5,2,0,0,1,1
"778",8,2,1,0,1,1
"779",8,2,1,0,1,1
"780",7,2,1,1,1,1
"781",7,1,0,0,1,0
"782",8,1,1,0,1,0
"783",9,4,1,0,0,0
"784",0,3,0,0,0,0
"785",6,3,1,0,1,1
"786",8,2,1,0,1,1
"787",8,1,1,0,1,1
"788",10,5,1,0,1,1
"789",8,2,0,1,1,0
"790",10,2,1,0,1,1
"791",10,1,1,0,1,1
"792",9,3,1,0,0,1
"793",9,2,1,0,1,1
"794",5,2,1,0,1,1
"795",9,2,1,1,1,0
"796",8,1,0,0,1,0
"797",5,4,1,1,0,1
"798",7,4,1,1,0,1
"799",10,3,0,0,0,0
"800",10,4,1,0,1,1
"801",7,3,1,0,1,1
"802",9,4,1,1,0,1
"803",8,4,1,1,0,1
